transaction,announced,closed,type,role,target,buyer,seller,rounds,round_type,valuation_pre,valuation_post,ammount,raised,corporation
IQTR651111290,2020-01-15,2020-01-15,Merger/Acquisition,Buyer,"XNOR.AI, Inc.",Apple Inc. (NasdaqGS:AAPL),"AutoTech Ventures; NGP Capital; Madrona Venture Group, LLC; Plug and Play, LLC; Catapult Ventures Group",0,,0,0,0,0,Apple
IQTR647865299,2019-12-12,2019-12-12,Merger/Acquisition,Buyer,Spectral Edge Ltd,Apple Inc. (NasdaqGS:AAPL),IQ Capital Partners LLP; Martlet; Origin Capital Ltd; Parkwalk Advisors Ltd; Wren Capital LLP,0,,0,0,0,0,Apple
IQTR639430236,2019-10-04,2019-10-04,Merger/Acquisition,Buyer,IKinema Ltd.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR630916104,2019-07-25,2019-12-02,Merger/Acquisition,Buyer,Smartphone Modem Business of Intel Corporation,Apple Inc. (NasdaqGS:AAPL),Intel Corporation (NasdaqGS:INTC),0,,0,0,1000000,0,Apple
IQTR625921898,2019-06-25,2019-06-25,Merger/Acquisition,Buyer,"Drive.ai, Inc.",Apple Inc. (NasdaqGS:AAPL),"HOF Capital; GGV Capital; GPU Ventures; New Enterprise Associates, Inc.; Northern Light Venture Capital",0,,0,0,0,0,Apple
IQTR612707663,2019-05-07,2018-11-30,Merger/Acquisition,Buyer,Silk Labs Inc.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR602555217,2019-02-15,2018-12-31,Merger/Acquisition,Buyer,Operatedata Ltd.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR594391282,2018-12-07,2018-12-07,Merger/Acquisition,Buyer,Platoon Limited,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR587466412,2018-10-11,2019-04-08,Merger/Acquisition,Buyer,Certain Assets of Dialog Semiconductor Plc,Apple Inc. (NasdaqGS:AAPL),Dialog Semiconductor Plc (XTRA:DLG),0,,0,0,300000,0,Apple
IQTR579360358,2018-08-30,,Merger/Acquisition,Buyer,Akonia Holographics LLC,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR561415029,2018-05-01,,Buyback,Target,Apple Inc. (NasdaqGS:AAPL),,,0,,0,0,175000000,0,Apple
IQTR555809081,2018-03-12,2018-03-31,Merger/Acquisition,Buyer,Next Issue Media LLC,Apple Inc. (NasdaqGS:AAPL),KKR & Co. L.P. (nka:KKR & Co. Inc. (NYSE:KKR)); Rogers Media Inc.; Meredith Corporation (NYSE:MDP); Rogers Ventures Partners; Time Inc. (nka:TI Gotham Inc.); Conde Nast Entertainment LLC; The Hearst Corporation,0,,0,0,0,0,Apple
IQTR548302734,2018-01-02,2018-01-02,Merger/Acquisition,Buyer,Doe Pics Hit Holdings ULC,Apple Inc. (NasdaqGS:AAPL),"Amplify Partners, LLC; Bloomberg Beta L.P.; First Round Capital; Kleiner Perkins Caufield & Byers",0,,0,0,0,0,Apple
IQTR546333558,2017-12-11,2018-09-24,Merger/Acquisition,Buyer,Shazam Entertainment Limited,Apple Inc. (NasdaqGS:AAPL),"Acacia Capital Partners; América Móvil, S.A.B. de C.V. (BMV:AMX L); Band of Angels; Buran Venture Capital (nka:Flashpoint Venture Capital); DN Capital (UK) LLP; Institutional Venture Partners; Kleiner Perkins Caufield & Byers; RVC (OJSC), Investment Arm; Arts Alliance; Azini Capital Partners LLP",0,,0,0,400000,0,Apple
IQTR652856084,2017-12-05,2017-12-05,Merger/Acquisition,Buyer,"Pop Up Archive, Inc.",Apple Inc. (NasdaqGS:AAPL),500 Startups; FundersClub Inc.,0,,0,0,0,0,Apple
IQTR543250748,2017-11-09,2017-11-09,Merger/Acquisition,Buyer,"InVisage Technologies, Inc.",Apple Inc. (NasdaqGS:AAPL),"InterWest Partners LLC; China Oceanwide USA Holdings Co. Ltd.; Horizon Technology Finance Management, LLC; RockPort Capital Partners; Intel Capital; GGV Capital",0,,0,0,0,0,Apple
IQTR541460840,2017-10-25,2017-10-25,Merger/Acquisition,Buyer,PowerbyProxi Limited,Apple Inc. (NasdaqGS:AAPL),Movac Limited; TE Connectivity Ltd. (NYSE:TEL); Samsung Venture Investment Corporation,0,,0,0,68710,0,Apple
IQTR539707831,2017-09-29,2017-03-31,Merger/Acquisition,Buyer,"Regaind, SAS",Apple Inc. (NasdaqGS:AAPL),Side Capital,0,,0,0,0,0,Apple
IQTR538600319,2017-09-22,2017-11-02,Merger/Acquisition,Seller,Imagination Technologies Group plc,"Canyon Bridge Capital Partners, Inc. Buyer Funds: Canyon Bridge Fund I, LP","Apple Inc. (NasdaqGS:AAPL); Intel Capital; M&G Investment Management Limited; Standard Life Investments Limited; Tsinghua Unigroup International Co., Ltd; Majedie Asset Management Limited",0,,0,0,812670,0,Apple
IQTR528545236,2017-06-26,2017-06-26,Merger/Acquisition,Buyer,SensoMotoric Instruments GmbH,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR431722117,2017-05-13,2017-05-13,Merger/Acquisition,Buyer,"Lattice Data, Inc.",Apple Inc. (NasdaqGS:AAPL),"GV; In-Q-Tel, Inc.; Madrona Venture Group, LLC",0,,0,0,200000,0,Apple
IQTR430348997,2017-05-08,2017-05-08,Merger/Acquisition,Buyer,Beddit.com Oy,Apple Inc. (NasdaqGS:AAPL),Veraventure Ltd; Inventure Oy; Open Ocean Capital Ltd. Seller Funds: Inventure Fund II; Seed Fund Vera Ltd,0,,0,0,0,0,Apple
IQTR424396562,2017-03-22,2017-03-22,Merger/Acquisition,Buyer,"DeskConnect, Inc.",Apple Inc. (NasdaqGS:AAPL),General Catalyst Partners; Lowercase Capital Seller Funds: Rough Draft Ventures,0,,0,0,0,0,Apple
IQTR422722383,2017-02-22,2017-02-20,Merger/Acquisition,Buyer,RealFace,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR414962552,2016-12-07,2017-09-27,Merger/Acquisition,Buyer,30% Stake in Four Energy Companies,Apple Inc. (NasdaqGS:AAPL),"Beijing Tianrun New Energy Investment Co., Ltd.",0,,0,0,26880,0,Apple
IQTR412764657,2016-12-01,2015-12-31,Merger/Acquisition,Buyer,Indoor.io,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR402529364,2016-09-22,,Merger/Acquisition,Buyer,Tuplejump Software Private Limited,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR407749445,2016-08-22,2016-03-31,Merger/Acquisition,Buyer,"Gliimpse, Inc.",Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR379373372,2016-08-05,2016-08-05,Merger/Acquisition,Buyer,Turi Inc.,Apple Inc. (NasdaqGS:AAPL),"Madrona Venture Group, LLC; Opus Capital; Vulcan Capital; New Enterprise Associates, Inc.",0,,0,0,200000,0,Apple
IQTR338093577,2016-05-12,2016-06-13,Private Placement,Buyer,"Didi Chuxing Technology Co., Ltd.","Alibaba Group Holding Limited (NYSE:BABA); SoftBank Group Corp. (TSE:9984); Ant Financial Services Group; China Life Investment Holding Company Limited; Apple Inc. (NasdaqGS:AAPL); Bank of Communications Co., Ltd. (SEHK:3328); China Minsheng Investment Group; Tencent Holdings Ltd., Investment Arm; China Poly Group Corporation Limited; Poly Real Estate Group Co.,Ltd (nka:Poly Developments and Holdings Group Co., Ltd. (SHSE:600048))",,10,Venture,0,0,4800000,8955000,Apple
IQTR330680956,2016-01-29,2016-01-29,Merger/Acquisition,Buyer,"FlyBy Media, Inc.",Apple Inc. (NasdaqGS:AAPL),"Chart Venture Partners; Robert Bosch Venture Capital GmbH; CNF Investments LLC Seller Funds: Chart Venture Partners, L.P.",0,,0,0,0,0,Apple
IQTR323729145,2016-01-28,2016-01-28,Merger/Acquisition,Buyer,"LearnSprout, Inc.",Apple Inc. (NasdaqGS:AAPL),Imagine K12 (nka:YC/Imagine K12); Andreessen Horowitz LLC; Formation8 Partners; Samsung Venture Investment Corporation,0,,0,0,0,0,Apple
IQTR321591291,2016-01-07,2016-01-07,Merger/Acquisition,Buyer,"Emotient, Inc.",Apple Inc. (NasdaqGS:AAPL),"Handbag, LLC; Intel Capital",0,,0,0,0,0,Apple
IQTR317732328,2015-11-24,2015-11-24,Merger/Acquisition,Buyer,Faceshift AG,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR312947191,2015-10-05,2015-10-05,Merger/Acquisition,Buyer,Perceptio,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR312816618,2015-10-02,2015-10-02,Merger/Acquisition,Buyer,VocalIQ Limited,Apple Inc. (NasdaqGS:AAPL),Parkwalk Advisors Ltd; Amadeus Capital Partners Limited; Cambridge Enterprise Limited Seller Funds: Amadeus IV Early Stage Funds; The University of Cambridge Enterprise Fund II,0,,0,0,0,0,Apple
IQTR311638064,2015-09-17,2015-09-17,Merger/Acquisition,Buyer,"Mapsense, Inc.",Apple Inc. (NasdaqGS:AAPL),General Catalyst Partners; Amplify.LA; Redpoint Ventures; Formation8 Partners,0,,0,0,0,0,Apple
IQTR302508525,2015-05-28,2015-03-31,Merger/Acquisition,Buyer,metaio GmbH,Apple Inc. (NasdaqGS:AAPL),"Enterprise Ireland, Investment Arm; Westcott Investment Group, LLC; Atlantic Bridge",0,,0,0,32000,0,Apple
IQTR301510919,2015-05-17,2015-05-17,Merger/Acquisition,Buyer,Coherent Navigation Inc.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR291354610,2015-04-14,2015-04-14,Merger/Acquisition,Buyer,LinX Computational Imaging Ltd.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,20000,0,Apple
IQTR636529307,2015-03-25,2015-03-25,Merger/Acquisition,Buyer,"FoundationDB, LLC",Apple Inc. (NasdaqGS:AAPL),Tuesday Capital,0,,0,0,0,0,Apple
IQTR331613201,2014-11-03,2014-11-03,Merger/Acquisition,Buyer,"Union Bay Networks, Inc.",Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR272904361,2014-09-23,2014-09-23,Merger/Acquisition,Buyer,Prss B.V.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR309891606,2014-07-30,2014-07-29,Merger/Acquisition,Buyer,"Concept.io, Inc.",Apple Inc. (NasdaqGS:AAPL),"Andreessen Horowitz LLC; GV; Zapis Capital Group LLC; Correlation Ventures; InterWest Partners LLC; Orfin Ventures, LLC; Charles River Ventures, Inc.; Draper Fisher Jurvetson (nka:Threshold Ventures)",0,,0,0,30000,0,Apple
IQTR269194483,2014-07-25,2014-07-25,Merger/Acquisition,Buyer,"Novel Projects, Inc.",Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR631734333,2014-06-06,2014-06-06,Merger/Acquisition,Buyer,"Simple Rules, Inc.",Apple Inc. (NasdaqGS:AAPL),AngelPad,0,,0,0,0,0,Apple
IQTR408166578,2014-05-31,2014-05-31,Merger/Acquisition,Buyer,LuxVue Technology Corporation,Apple Inc. (NasdaqGS:AAPL),Kleiner Perkins Caufield & Byers,0,,0,0,0,0,Apple
IQTR264663869,2014-05-28,2014-07-31,Merger/Acquisition,Buyer,"Beats Electronics, LLC",Apple Inc. (NasdaqGS:AAPL),"Carlyle Group L.P. (nka:The Carlyle Group Inc. (NasdaqGS:CG)) Seller Funds: Carlyle Partners V, L.P.",0,,0,0,0,0,Apple
IQTR264861156,2014-05-28,2014-07-31,Merger/Acquisition,Buyer,"Beats Music, LLC",Apple Inc. (NasdaqGS:AAPL),"CJ E&M America, Inc.; Beats Electronics, LLC",0,,0,0,0,0,Apple
IQTR261530046,2014-04-03,2013-12-31,Merger/Acquisition,Buyer,Novauris Technologies Ltd,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR257361139,2014-02-21,2014-02-21,Merger/Acquisition,Buyer,"Burstly, Inc.",Apple Inc. (NasdaqGS:AAPL),Bonfire Ventures; SoftBank Capital; Daher Capital; Founder Collective; Upfront Ventures,0,,0,0,0,0,Apple
IQTR253765863,2014-01-05,2014-01-05,Merger/Acquisition,Buyer,SnappyLabs LLC,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR301687978,2013-12-31,2013-12-31,Merger/Acquisition,Buyer,Acunu Ltd.,Apple Inc. (NasdaqGS:AAPL),Pentech Ventures LLP; Oxford Technology Management Limited; Imperial Innovations Group plc (nka:Touchstone Innovations Plc); The Carbon Trust Ltd.; Eden Ventures (UK) Ltd.; Longwall Venture Partners LLP Seller Funds: Oxford Technology Enterprise Capital Fund,0,,0,0,0,0,Apple
IQTR530336668,2013-12-27,,Merger/Acquisition,Buyer,BroadMap LLC,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR252373980,2013-12-02,2013-12-02,Merger/Acquisition,Buyer,"Topsy Labs, Inc.",Apple Inc. (NasdaqGS:AAPL),"BlueRun Ventures; Founders Fund; Westech Investment Advisors, LLC",0,,0,0,200000,0,Apple
IQTR251871762,2013-11-24,2013-11-24,Merger/Acquisition,Buyer,"PrimeSense, LTD",Apple Inc. (NasdaqGS:AAPL),"Genesis Partners Ltd.; Kreos Capital; Gemini Israel Funds; Silver Lake; Canaan Partners Seller Funds: Genesis Partners III, L.P.; Gemini Fund IV; Silver Lake Sumeru, L.P.",0,,0,0,0,0,Apple
IQTR247790403,2013-10-03,2013-10-03,Merger/Acquisition,Buyer,"Cue, Inc.",Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR245296815,2013-08-28,2013-02-28,Merger/Acquisition,Buyer,AlgoTrim AB,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR245014540,2013-08-22,,Merger/Acquisition,Buyer,"Embark, Inc.",Apple Inc. (NasdaqGS:AAPL),SV Angel; Y Combinator Management LLC; BMW i Ventures; Lowercase Capital Seller Funds: BMW i Ventures; Start Fund,0,,0,0,0,0,Apple
IQTR244590240,2013-08-14,2013-08-13,Merger/Acquisition,Buyer,"Matcha, Inc.",Apple Inc. (NasdaqGS:AAPL),Media Camp,0,,0,0,0,0,Apple
IQTR244102303,2013-08-01,,Merger/Acquisition,Buyer,Passif Semiconductor Corp,Apple Inc. (NasdaqGS:AAPL),Khosla Ventures,0,,0,0,0,0,Apple
IQTR243310545,2013-07-19,2013-07-19,Merger/Acquisition,Buyer,Locationary Inc.,Apple Inc. (NasdaqGS:AAPL),"MaRs Discovery District, Investment Arm; Genwealth Ventures LP; Plaza Ventures; Trellis Capital Corporation; Extreme Venture Partners Seller Funds: MaRS Investment Accelerator Fund",0,,0,0,0,0,Apple
IQTR243396236,2013-07-19,2013-07-19,Merger/Acquisition,Buyer,"Hopstop.com, Inc.",Apple Inc. (NasdaqGS:AAPL),Rhodium Ltd.,0,,0,0,0,0,Apple
IQTR233366989,2013-03-24,2013-03-24,Merger/Acquisition,Buyer,"Wifislam, Inc.",Apple Inc. (NasdaqGS:AAPL),Relay Ventures Seller Funds: Relay Ventures Fund I LP,0,,0,0,20000,0,Apple
IQTR411638475,2013-02-28,2013-02-28,Merger/Acquisition,Buyer,"Infinite Power Solutions, Inc.",Apple Inc. (NasdaqGS:AAPL),"Generation Investment Management LLP; D.E. Shaw Venture Capital; In-Q-Tel, Inc. Seller Funds: In-Q-Tel",0,,0,0,0,0,Apple
IQTR262030516,2012-12-31,2012-12-31,Merger/Acquisition,Buyer,"EBD Hydro, Hydroelectric Project at a Central Oregon Site",Apple Inc. (NasdaqGS:AAPL),EBD Hydro LLC,0,,0,0,0,0,Apple
IQTR214786662,2012-07-27,2012-10-04,Merger/Acquisition,Buyer,"AuthenTec, Inc.",Apple Inc. (NasdaqGS:AAPL),"Advantage Capital Partners; CrossLink Capital, Inc.; EDBV Management Pte Ltd.; Diamondhead Ventures Advisory Fund, L.P.,; Saints Capital Services, LLC; Sofinnova Partners; Newlight Management, LLC; Partners Group Holding AG (SWX:PGHN); AWM Investment Company Inc.; Diamondhead Ventures; Sofinnova Investment, Inc. Seller Funds: Partners Group Secondary 2004, L.P.; Sofinnova Capital IV, FCPR; Advantage Capital Florida Partners I, L.P.; Sofinnova Venture Partners VI, L.P.; EDB Ventures Pte Ltd.",0,,0,0,399610,0,Apple
IQTR208326997,2012-05-31,2012-05-31,Merger/Acquisition,Buyer,Redmatica Srl,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR182455551,2012-03-19,2018-05-05,Buyback,Target,Apple Inc. (NasdaqGS:AAPL),,,0,,0,0,210000000,0,Apple
IQTR171186305,2012-02-23,2012-02-23,Merger/Acquisition,Buyer,Chomp Inc.,Apple Inc. (NasdaqGS:AAPL),SV Angel; Felicis Ventures; BlueRun Ventures,0,,0,0,50000,0,Apple
IQTR145319088,2011-12-20,2011-12-20,Merger/Acquisition,Buyer,Anobit Technologies Ltd.,Apple Inc. (NasdaqGS:AAPL),Battery Ventures; Intel Capital; Micron Ventures; Pitango Venture Capital Seller Funds: Pitango Fund IV,0,,0,0,400000,0,Apple
IQTR137485603,2011-07-14,2011-07-19,Merger/Acquisition,Buyer,C3 Technologies AB,Apple Inc. (NasdaqGS:AAPL),Saab Ventures,0,,0,0,154980,0,Apple
IQTR136879986,2011-06-30,2011-07-29,Merger/Acquisition,Buyer,"Nortel Networks Corp., Patent Portfolio",Microsoft Corporation (NasdaqGS:MSFT); EMC Corporation (nka:Dell EMC); Sony Corporation (TSE:6758); Apple Inc. (NasdaqGS:AAPL); Research In Motion Limited (nka:BlackBerry Limited (TSX:BB)); Telefonaktiebolaget LM Ericsson (publ) (OM:ERIC B),Nortel Networks Corporation,0,,0,0,4500000,0,Apple
IQTR113580132,2010-09-02,2010-09-20,Merger/Acquisition,Buyer,Polar Rose AB,Apple Inc. (NasdaqGS:AAPL),Nordic Venture Partners Management ApS,0,,0,0,29000,0,Apple
IQTR274029954,2010-07-14,2010-07-14,Merger/Acquisition,Buyer,Poly9 Group Inc,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR104546558,2010-04-27,2010-03-31,Merger/Acquisition,Buyer,"Intrinsity, Inc.",Apple Inc. (NasdaqGS:AAPL),"Goldman Sachs Group, Merchant Banking Division (nka:West Street Capital Partners); Northwater Capital Management Inc.; The Hillman Company; Adams Capital Management, Inc.; Altitude Capital Partners Seller Funds: Adams Capital Management III, L.P.; Northwater Intellectual Property Fund LP1",0,,0,0,0,0,Apple
IQTR104595060,2010-04-27,2010-04-27,Merger/Acquisition,Buyer,"Siri, Inc.",Apple Inc. (NasdaqGS:AAPL),"Morgenthaler; Li Ka Shing Foundation Ltd.; SRI International, Inc.; Menlo Ventures Management, L.P.",0,,0,0,0,0,Apple
IQTR99408767,2010-03-11,2010-03-25,Merger/Acquisition,Seller,"Apple Inc., Eighteen Games Applications","Cascadia Investments, Inc. (OTCPK:CDIV)",Apple Inc. (NasdaqGS:AAPL),0,,0,0,0,0,Apple
IQTR83973402,2010-01-05,2010-01-05,Merger/Acquisition,Buyer,"Quattro Wireless, Inc.",Apple Inc. (NasdaqGS:AAPL),Globespan Capital Management LLC; Highland Capital Partners,0,,0,0,0,0,Apple
IQTR82490638,2009-12-05,2009-12-04,Merger/Acquisition,Buyer,La La Media Inc.,Apple Inc. (NasdaqGS:AAPL),Ignition Partners; Warner Music Group Corp.; Bain Capital Ventures,0,,0,0,80000,0,Apple
IQTR274028410,2009-10-01,2009-07-07,Merger/Acquisition,Buyer,Placebase Inc.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR43941180,2008-04-22,2008-04-30,Merger/Acquisition,Buyer,"P.A. Semi, Inc.",Apple Inc. (NasdaqGS:AAPL),"Bessemer Venture Partners; Focus Ventures; VR Adviser, LLC; Gold Hill Capital Management, LLC; Texas Instruments Incorporated (NasdaqGS:TXN); Highland Capital Partners Seller Funds: Focus Ventures III, L.P.",0,,0,0,278000,0,Apple
IQTR30564087,2006-12-05,2006-12-05,Merger/Acquisition,Buyer,Proximity Corporation,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR29835267,2006-10-16,2006-10-16,Merger/Acquisition,Buyer,"Silicon Color, Inc.","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR27351897,2006-05-24,2006-05-24,Merger/Acquisition,Seller,PowerSchool Group LLC,Pearson Education Limited,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",0,,0,0,0,0,Apple
IQTR214942992,2005-04-30,2005-04-30,Merger/Acquisition,Buyer,FingerWorks Inc.,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,15000,0,Apple
IQTR26049363,2005-03-22,2005-03-22,Merger/Acquisition,Buyer,Schema Software Inc.,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR13400642,2004-12-22,2005-02-08,Merger/Acquisition,Seller,"Kanisa, Inc.","ServiceWare Technologies, Inc. (nka:Knova Software, Inc.)","MeriTech Capital Partners; Needham Capital Partners; Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Ernst & Young LLP; NIF SMBC Ventures USA, Inc.; Sierra Ventures; WorldView Technology Partners, Inc.",0,,0,0,87800,0,Apple
IQTR309636044,2002-08-09,2002-08-09,Merger/Acquisition,Buyer,Silicon Grail Corporation,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR2522986,2002-06-30,2002-06-30,Merger/Acquisition,Buyer,EMAGIC Soft- und Hardware GmbH,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,30000,0,Apple
IQTR1916867,2002-04-04,2002-04-04,Merger/Acquisition,Buyer,"Zayante, Inc.","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",Sigma Partners; Intel Capital,0,,0,0,0,0,Apple
IQTR309634964,2002-02-07,2002-02-07,Merger/Acquisition,Buyer,"Nothing Real, LLC","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,15000,0,Apple
IQTR1145078,2001-08-28,2001-08-28,Private Placement,Buyer,"Kanisa, Inc.","Ernst & Young LLP; NIF SMBC Ventures USA, Inc.; MeriTech Capital Partners; Sierra Ventures; WorldView Technology Partners, Inc.; Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,5,Series E,0,0,30000,75400,Apple
IQTR109925679,2001-07-09,2001-07-09,Merger/Acquisition,Buyer,Spruce Technologies Inc.,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,14900,0,Apple
IQTR834816,2001-04-30,2001-06-04,Merger/Acquisition,Seller,"Ofoto, Inc. (nka:Kodak Imaging Network, Inc.)",Eastman Kodak Company (NYSE:KODK),"Barksdale Group; Benchmark; Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Hewlett-Packard Company (nka:HP Inc. (NYSE:HPQ)); Index Ventures; Rosewood Capital Seller Funds: Index Ventures II, LP",0,,0,0,58000,0,Apple
IQTR774371,2001-03-14,2001-04-30,Merger/Acquisition,Buyer,PowerSchool Group LLC,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))","Warburg Pincus LLC; Group One Capital, Inc.; Snider Capital, L.P.",0,,0,0,46950,0,Apple
IQTR679813,2001-01-29,2001-01-29,Private Placement,Buyer,"Ofoto, Inc. (nka:Kodak Imaging Network, Inc.)","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Barksdale Group; Benchmark; Hewlett-Packard Company (nka:HP Inc. (NYSE:HPQ)); Index Ventures; Rosewood Capital Buyer Funds: Index Ventures II, LP",,2,Series B,0,0,41000,57500,Apple
IQTR9762552,2000-04-10,2000-04-10,Merger/Acquisition,Buyer,Astarte GmbH,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR32676207,2000-03-31,2000-03-31,Private Placement,Buyer,"Kanisa, Inc.","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,3,Series C,0,0,15000,27400,Apple
IQTR109925763,2000-01-08,2000-01-07,Merger/Acquisition,Buyer,"NetSelector, Inc.","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,0,0,Apple
IQTR1255487,1999-11-05,1999-11-05,Merger/Acquisition,Buyer,"Raycer Graphics, Inc.","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,0,,0,0,15000,0,Apple
IQTR4119777,1999-06-21,1999-06-21,Private Placement,Buyer,"Akamai Technologies, Inc. (NasdaqGS:AKAM)","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",,5,Series D,0,0,12500,91870,Apple
IQTR49552517,1999-01-08,1999-01-08,Merger/Acquisition,Buyer,Apple Xemplar Education Limited,"Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",Acorn Computers Limited,0,,0,0,4920,0,Apple
IQTR328023948,1998-12-31,1998-12-31,Merger/Acquisition,Seller,640 Acres at Coyote Valley,"Brandenburg Properties, LLC","Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL))",0,,0,0,0,0,Apple
IQTR20591892,1996-10-31,,Private Placement,Buyer,"Exponential Technology, Inc.","Nazem and Company; UMAX Computer Corporation; VR Adviser, LLC; Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Charter Life Sciences; Mitsui Comtek Corp.; Woodside Fund; Banexi Ventures Partners (nka:Kreaxi)",,2,Series C,0,0,13200,27200,Apple
IQTR62123371,1995-12-11,1995-12-11,Private Placement,Buyer,"Exponential Technology, Inc.","Innotech Corporation (TSE:9880); Woodside Fund; ITOCHU Corporation (TSE:8001); Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Nazem and Company; VR Adviser, LLC",,1,Venture,0,0,14000,14000,Apple
IQTR44149098,1990-06-18,1990-06-26,Private Placement,Buyer,"NetFRAME Systems, Inc.","Kleiner Perkins Caufield & Byers; Menlo Ventures Management, L.P.; 3i Ventures (nka:Aspen Ventures); Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); Xerox Corporation (nka:Xerox Holdings Corporation (NYSE:XRX)); MK Global Ventures; PaineWebber Development Corporation Buyer Funds: PW Private Capital Technology Fund, L.P.",,1,Series C,0,0,12000,12000,Apple
IQTR463450,1989-01-06,1989-01-30,Private Placement,Buyer,Echelon Corporation,"Bessemer Venture Partners; Lehman Brothers Trust Company, National Association; Matrix Partners; Mohr Davidow Ventures; VR Adviser, LLC; 3Com Corporation; U.S. Venture Partners; Apple Computer, Inc. (nka:Apple Inc. (NasdaqGS:AAPL)); AVI Capital, L.P.; Concorde Capital Partners; J.H. Whitney Capital Partners, LLC; Kleiner Perkins Caufield & Byers; Mayfield Fund Buyer Funds: Matrix Partners II, L.P.; Venrock II, L.P.; Kleiner, Perkins, Caufield & Byers IV, L.P.; Associated Venture Investors II, L.P.; Mayfield VI, L.P.; Mohr, Davidow Ventures II, L.P.; U.S. Venture Partners III",,1,Series A,0,0,25000,25000,Apple
