"Supplier Name","Exchange:Ticker Symbol","Customer Name","Entity","Relationship Type","Primary Industry","Source","Business Description"
"AdvancePierre Foods Holdings, Inc.","-","Sam's West, Inc.","Subsidiary/Investment
                         ","Supplier","Packaged Foods and Meats","AdvancePierre Foods Holdings, Inc. 2017 Form 10-K","AdvancePierre Foods Holdings, Inc. produces and distributes ready-to-eat sandwiches, sandwich components, and other entrees and snacks. The company operates in three segments: Foodservice, Retail, and Convenience. It markets and distributes stock keeping units in product categories, including ready-to-eat sandwiches, such as breakfast sandwiches, peanut butter and jelly sandwiches, and hamburgers; sandwich components, such as flame-grilled hamburgers and chicken patties, and Philly steaks; and other entrees and snacks, including country fried steak, stuffed entrees, chicken tenders, and cinnamon dough bites. The company sells its products under the BIG AZ, Pierre, Landshire, Better Bakery, The Pub, Steak-EZE, Barber Foods, Advance, and Fast Fixin brands. It offers its products to national and regional distributors, grocery chains, warehouse club stores, mass retailers, and dollar stores; and vending providers. AdvancePierre Foods Holdings, Inc. was formerly known as Pierre Foods Holding Corporation and changed its name to AdvancePierre Foods Holdings, Inc. in March 2016. AdvancePierre Foods Holdings, Inc. The company was incorporated in 2008 and is headquartered in Cincinnati, Ohio with protein facilities in Enid, Oklahoma and West Chester, Ohio, as well as sandwich and integrated bakery facilities in Asley, South Carolina; Amherst, Ohio; Claremont, North Carolina; and Caseyville, Illinois. AdvancePierre Foods Holdings, Inc. operates as a subsidiary of Tyson Foods, Inc."
"AdvancePierre Foods Holdings, Inc.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","AdvancePierre Foods Holdings, Inc. 2017 Form 10-K","AdvancePierre Foods Holdings, Inc. produces and distributes ready-to-eat sandwiches, sandwich components, and other entrees and snacks. The company operates in three segments: Foodservice, Retail, and Convenience. It markets and distributes stock keeping units in product categories, including ready-to-eat sandwiches, such as breakfast sandwiches, peanut butter and jelly sandwiches, and hamburgers; sandwich components, such as flame-grilled hamburgers and chicken patties, and Philly steaks; and other entrees and snacks, including country fried steak, stuffed entrees, chicken tenders, and cinnamon dough bites. The company sells its products under the BIG AZ, Pierre, Landshire, Better Bakery, The Pub, Steak-EZE, Barber Foods, Advance, and Fast Fixin brands. It offers its products to national and regional distributors, grocery chains, warehouse club stores, mass retailers, and dollar stores; and vending providers. AdvancePierre Foods Holdings, Inc. was formerly known as Pierre Foods Holding Corporation and changed its name to AdvancePierre Foods Holdings, Inc. in March 2016. AdvancePierre Foods Holdings, Inc. The company was incorporated in 2008 and is headquartered in Cincinnati, Ohio with protein facilities in Enid, Oklahoma and West Chester, Ohio, as well as sandwich and integrated bakery facilities in Asley, South Carolina; Amherst, Ohio; Claremont, North Carolina; and Caseyville, Illinois. AdvancePierre Foods Holdings, Inc. operates as a subsidiary of Tyson Foods, Inc."
"Advantage Solutions Inc.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Advertising","Advantage Solutions Inc. 2017 Form S-1","Advantage Solutions Inc. provides outsourced sales, marketing, and merchandising solutions to consumer goods manufacturers and retailers. The company operates through two segments, Sales and Marketing. Its sales and marketing solutions enhance marketing effectiveness, selling efficiency, market coverage, distribution, and placement of client products across various retail channels of trade. The Sales segment offer headquarter relationship management; analytics, insights, and intelligence; administration; retail services; retailer client partnerships and in-store media programs; and technology solutions to enhance sales in the traditional retail, foodservice, and e-commerce channels. The Marketing segment develops marketing programs comprising experiential marketing; shopper and consumer marketing; digital marketing; and advantage media for manufacturers and retailers. It serves manufacturers across a range of consumer product categories, including packaged foods, beverages, perishables, health and beauty care, and consumer electronics. The company was formerly known as Karman Holding Corp. and changed its name to Advantage Solutions Inc. in March, 2016. The company was founded in 1987 and is based in Irvine, California."
"Aeroflex Co., ltd.","-","Wal-Mart.com USA, LLC","Subsidiary/Investment
                         ","Supplier","Commodity Chemicals","Eastern Polymer Group Public Company Limited (SET:EPG) - Form Doc","Aeroflex Co., ltd. manufactures and distributes ethylene propylene diene methylene synthetic rubber based closed cell light weight elastomeric thermal insulations and accessories to customers in Thailand and internationally. The company’s products are used in HVAC&R, duct system, and roofing applications. It distributes its products through production plants, agents, and distributors. The company was founded in 2013 and is based in Bangkok, Thailand. It has manufacturing facilities in the United States, China, India, Germany, Switzerland, the Russian Federation, and Thailand. Aeroflex Co., ltd. operates as a subsidiary of Eastern Polymer Group Public Company Limited."
"Affle (India) Limited (NSEI:AFFLE)","NSEI:AFFLE","Flipkart India Private Limited","Subsidiary/Investment
                         ","Supplier","Advertising","Affle (India) Limited (NSEI:AFFLE) - Form Doc","Affle (India) Limited, a technology company, provides mobile advertisement services through information technology and software development services for mobiles. It delivers consumer acquisitions, engagements, and transactions through relevant mobile advertising through its consumer platform. The company also provides end-to-end solutions for enterprises to enhance their engagement with mobile users, such as developing apps, which enable offline to online commerce for offline businesses with e-commerce aspirations and providing enterprise grade data analytics for online and offline companies. Its consumer platform is used by business to consumer companies in various industries, including e-commerce, fin-tech, telecom, media, retail, and FMCG companies directly and indirectly through their advertising agencies. The company was incorporated in 1994 and is based in Gurugram, India. It has additional locations in Mumbai and Bengaluru, India; Sinagpore; Jakarta, Indonesia; and Dubai, United Arab Emirates. Affle (India) Limited operates as a subsidiary of Affle Holdings Private Limited."
"Affle (India) Limited (NSEI:AFFLE)","NSEI:AFFLE","PhonePe Private Limited","Subsidiary/Investment
                         ","Supplier","Advertising","Affle (India) Limited (NSEI:AFFLE) - Form Doc","Affle (India) Limited, a technology company, provides mobile advertisement services through information technology and software development services for mobiles. It delivers consumer acquisitions, engagements, and transactions through relevant mobile advertising through its consumer platform. The company also provides end-to-end solutions for enterprises to enhance their engagement with mobile users, such as developing apps, which enable offline to online commerce for offline businesses with e-commerce aspirations and providing enterprise grade data analytics for online and offline companies. Its consumer platform is used by business to consumer companies in various industries, including e-commerce, fin-tech, telecom, media, retail, and FMCG companies directly and indirectly through their advertising agencies. The company was incorporated in 1994 and is based in Gurugram, India. It has additional locations in Mumbai and Bengaluru, India; Sinagpore; Jakarta, Indonesia; and Dubai, United Arab Emirates. Affle (India) Limited operates as a subsidiary of Affle Holdings Private Limited."
"AfterMaster, Inc. (OTCPK:AFTM)","OTCPK:AFTM","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Leisure Products","AfterMaster, Inc. (OTCPK:AFTM) 2018 Form 10-K","AfterMaster, Inc., together with its subsidiaries, operates as an audio technology company in the United States. It develops and commercializes proprietary audio and video technologies for professional and consumer use. The company offers AfterMaster audio, a mastering, remastering, and audio processing technology that makes various audio source sounds louder, fuller, deeper, and clearer; ProMaster, an online music mastering, streaming, and storage service designed for independent artists; and Aftermaster Pro, a personal audio re-mastering device. It also provides Aftermaster Studio Pro products for use in commercial audio applications; and MyStudio products. In addition, AfterMaster, Inc. operates six recording and mastering studios. The company was formerly known as Studio One Media, Inc. and changed its name to AfterMaster, Inc. in September 2015. AfterMaster, Inc. was incorporated in 1988 and is based in Scottsdale, Arizona."
"Agree Realty Corporation (NYSE:ADC)","NYSE:ADC","Walmart Inc. (NYSE:WMT)","Self
                         ","Landlord","Retail REITs","Agree Realty Corporation (NYSE:ADC) 2019 Form 10-K","Agree Realty Corporation is a publicly traded real estate investment trust primarily engaged in the acquisition and development of properties net leased to industry-leading retail tenants. As of December 31, 2019, the Company owned and operated a portfolio of 821 properties, located in 46 states and containing approximately 14.6 million square feet of gross leasable space. The common stock of Agree Realty Corporation is listed on the New York Stock Exchange under the symbol ""ADC""."
"Ajisen (China) Holdings Limited (SEHK:538)","SEHK:538","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Restaurants","Ajisen (China) Holdings Limited (SEHK:538) 2018 Form Doc","Ajisen (China) Holdings Limited, an investment holding company, operates a chain of fast casual restaurants in the People’s Republic of China and Hong Kong Special Administrative Region. It operates through Operation of Restaurants; Manufacture and Sales of Noodles and Related Products; and Investment Holding segments. The company’s restaurants primarily offer Japanese ramen and Japanese-style dishes under the Ajisen brand. As of December 31, 2018, it had a retail network of 766 restaurants. It also manufactures and sells packaged noodles and related products; and leases property interests. In addition, the company trades in noodles; and a food processing center. The company was founded in 1996 and is headquartered in Yau Tong, Hong Kong. Ajisen (China) Holdings Limited is a subsidiary of Favour Choice Limited."
"Alexander & Baldwin, Inc. (NYSE:ALEX)","NYSE:ALEX","Sam's West, Inc.","Subsidiary/Investment
                         ","Landlord","Diversified REITs","Alexander & Baldwin, Inc. (NYSE:ALEX) 2019 Form 10-K","Alexander & Baldwin, Inc. is Hawai'i's premier commercial real estate company and the state's foremost owner of grocery-anchored retail centers. A&B is a fully integrated real estate investment trust and owns, operates and manages approximately 3.9 million square feet of primarily retail and industrial space in Hawai'i, and is a major landowner in the state. A&B's interests extend beyond commercial real estate into renewable energy and land stewardship. A&B is also a construction materials company and paving contractor in Hawai'i. Over its nearly 150-year history, A&B has evolved with the state's economy and played a lead role in the development of the agricultural, transportation, tourism, construction and real estate industries."
"Amber Enterprises India Limited (BSE:540902)","BSE:540902","Flipkart Online Services Pvt. Ltd.","Subsidiary/Investment
                         ","Supplier","Household Appliances","Amber Enterprises India Limited (BSE:540902) - Form Doc","Amber Enterprises India Limited provides solutions to air conditioner original equipment manufacturer/original design manufacturer industries in India. It designs and manufactures a range of room air conditioners (RACs), including window air conditioners, indoor units, outdoor units, and split and window air conditioners; and inverter RACs. The company also offers functional components of RACs, such as heat exchangers, motors, and multi-flow condensers and invertor printed circuit boards; and other RAC components comprising sheet metal components, copper tubing, plastic extrusion, vacuum forming, and injection molding components. In addition, it manufactures components for other consumer durables and automobiles, such as case liners for refrigerator, plastic extrusion sheets, and sheet metal components for microwave, as well as washing machine tub assemblies, other sheet metal, plastic injection molding, and extrusion components for automobiles and metal ceiling industries. The company also exports its products. Amber Enterprises India Limited was incorporated in 1990 and is based in Gurugram, India."
"American Greetings Corporation","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Housewares and Specialties","American Greetings Corporation 2016 Form 10-K","American Greetings Corporation designs, manufactures, distributes, and sells social expressions products. The company operates through five segments: North American Social Expression Products, International Social Expression Products, Retail Operations, AG Interactive, and Non-reportable. It offers greeting cards, gift packaging, party goods, giftware, stationery, and gift wrap and boxed cards. The company also distributes social expression products, including electronic greetings, and a range of graphics and digital services and products through electronic channels, including Websites, Internet portals, and electronic mobile devices; and creates and licenses its intellectual properties, such as the Care Bears characters. Its greeting card brands include American Greetings, Recycled Paper Greetings, Papyrus, Carlton Cards, Gibson, Tender Thoughts, Just For You, Today and Always, justwink, Inventions, and P.S. Hello, as well as other paper product brands comprise DesignWare and Plus Mark; and Internet and wireless brands comprise AmericanGreetings.com, BlueMountain.com, justwink.com, and Cardstore.com. The company sells its products through mass merchandisers, chain drug stores, supermarkets, card and gift shops, department stores, military post exchanges, variety stores, combo stores, and independent third-party distributors. As of February 29, 2016, it operated 397 card and gift retail stores in the United Kingdom. American Greetings Corporation was founded in 1906 and is headquartered in Cleveland, Ohio."
"Amira Nature Foods Ltd. (NYSE:RYCE)","NYSE:RYCE","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","Amira Nature Foods Ltd. (NYSE:RYCE) 2018 Form 20-F","Amira Nature Foods Ltd. engages in processing, sourcing, and selling packaged Indian specialty rice. The company provides various types of basmati rice, other specialty rice and other food products, ready-to-eat snacks, edible oils, and organic products for retailers under the Amira brand; and non-basmati rice. It also sells bulk commodities, including wheat, barley, legume, maize, sugar, soybean meal, onion, potato, and millet products to trading firms, as well as third party branded products. The company sells its products to buyers in the Asia Pacific, Europe, the Middle East, North Africa, and North America; and distributors and retail chains in India. Amira Nature Foods Ltd. was founded in 1915 and is based in Dubai, the United Arab Emirates."
"Amsterdam Commodities N.V. (ENXTAM:ACOMO)","ENXTAM:ACOMO","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Food Distributors","Amsterdam Commodities N.V. (ENXTAM:ACOMO) 2018 Form ","Amsterdam Commodities N.V., together with its subsidiaries, engages in sourcing, processing, trading, packaging, and distributing natural food products and ingredients for the food and beverage industry worldwide. The company operates in four segments: Spices and Nuts, Edible Seeds, Tea, and Food Ingredients. It offers tropical products, such as spices, coconut products, edible and dried nuts, dehydrated vegetables, herbs, shelled and unshelled walnuts, almonds, dates, figs and apricots, dried fruits, rice crackers, processed nuts, seeds, snacks, and chocolate-coated products. The company also sells edible seeds, including sunflower seeds, poppy seeds, and other edible seeds; Sunbutter, an alternative to peanut butter; and Sunnypaste, a substitute for nuts paste used in the confectionary and chocolate industry. In addition, it supplies tea to the private and public sectors; and produces and distributes food ingredients comprising meat tastes, yeast extracts, vegetable tastes, cheese tastes, spices and herbal blends, natural colorings, texturizers, sweeteners, and vegetarian Worchester sauce. The company was founded in 1856 and is based in Rotterdam, the Netherlands."
"Andon Health Co., Ltd. (SZSE:002432)","SZSE:002432","Walmart Chile S.A.","Subsidiary/Investment
                         ","Supplier","Health Care Equipment","Andon Health Co., Ltd. (SZSE:002432) - Form ","Andon Health Co., Ltd. develops, manufactures, and sells health electronics and intelligent hardware products. It offers sphygmomanometers, nebulizers, blood glucose meters, thermometers, fetal heart rate instruments, electrocardiographs, oximeters, smart watches, and body weight scales. The company was founded in 1995 and is based in Tianjin, China."
"Anglian Water Services Limited","-","ASDA Group Limited","Subsidiary/Investment
                         ","Supplier","Water Utilities","Anglian Water Services Limited - Form Doc","Anglian Water Services Limited provides water and wastewater services in England and Wales. It supplies water to approximately 4.7 million customers; and offers water recycling services to approximately 6.1 million customers. The company was founded in 1989 and is headquartered in Huntingdon, the United Kingdom. Anglian Water Services Limited is a subsidiary of Anglian Water Services UK Parent Co Limited."
"Anhui Deli Household Glass Co., Ltd. (SZSE:002571)","SZSE:002571","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Housewares and Specialties","Anhui Deli Household Glass Co., Ltd. (SZSE:002571) - Form ","Anhui Deli Household Glass Co., Ltd. manufactures and sells hotel and household glassware in China. The company offers goblets, cups, water sets, dishes, bowls, sealed tanks, and wine dispensers, as well as ashtray and decanter series products. It also provides kitchen supplies, chalice, and kettle tea makers. The company sells its products through online and regional service personnel under the Green Apple, AGLAIA, DeLi, Spele, and Idelita brands. Anhui Deli Household Glass Co., Ltd. also exports its products. The company was founded in 2002 and is based in Cangzhou, China."
"Annie's, Inc.","-","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Packaged Foods and Meats","Annie's, Inc. 2013 Form 10-K","Annie’s, Inc. produces, markets, and distributes natural and organic food products. It offers approximately 145 products comprising meals, snacks, dressings, condiments, and other products, including macaroni and cheese, snack crackers, fruit snacks, and graham crackers. The company sells its products directly, as well as through distributors to the mainstream grocery, mass merchandiser/other, and natural retailer channels in the United States and Canada. Annie’s, Inc. was founded in 1989 and is headquartered in Berkeley, California. As of October 21, 2014, Annie's, Inc. operates as a subsidiary of General Mills, Inc."
"Anthem, Inc. (NYSE:ANTM)","NYSE:ANTM","Wal-Mart.com USA, LLC","Subsidiary/Investment
                         ","Supplier","Managed Health Care","Key DevelopmentClient Announcements Aug-20-2018","Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through three segments: Commercial & Specialty Business, Government Business, and Other. The company offers a spectrum of network-based managed care health benefit plans to large and small group, individual, Medicaid, and Medicare markets. Its managed care plans include preferred provider organizations; health maintenance organizations; point-of-service plans; traditional indemnity plans and other hybrid plans, such as consumer-driven health plans; and hospital only and limited benefit products. The company also provides a range of managed care services to self-funded customers, including claims processing, underwriting, stop loss insurance, actuarial services, provider network access, medical cost management, disease management, wellness programs, and other administrative services. In addition, it offers an array of specialty and other insurance products and services, such as dental, vision, life and disability insurance benefits, radiology benefit management, and analytics-driven personal health care guidance; and Medicare administrative services. Further, the company provides services to the federal government in connection with the Federal Employee Program; and operates as a licensee of the Blue Cross and Blue Shield Association. As of December 31, 2018, it served 40 million medical members through its affiliated health plans. The company was formerly known as WellPoint, Inc. and changed its name to Anthem, Inc. in December 2014. Anthem, Inc. was founded in 1944 and is headquartered in Indianapolis, Indiana."
"Anthem, Inc. (NYSE:ANTM)","NYSE:ANTM","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Managed Health Care","Key DevelopmentClient Announcements Aug-20-2018","Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through three segments: Commercial & Specialty Business, Government Business, and Other. The company offers a spectrum of network-based managed care health benefit plans to large and small group, individual, Medicaid, and Medicare markets. Its managed care plans include preferred provider organizations; health maintenance organizations; point-of-service plans; traditional indemnity plans and other hybrid plans, such as consumer-driven health plans; and hospital only and limited benefit products. The company also provides a range of managed care services to self-funded customers, including claims processing, underwriting, stop loss insurance, actuarial services, provider network access, medical cost management, disease management, wellness programs, and other administrative services. In addition, it offers an array of specialty and other insurance products and services, such as dental, vision, life and disability insurance benefits, radiology benefit management, and analytics-driven personal health care guidance; and Medicare administrative services. Further, the company provides services to the federal government in connection with the Federal Employee Program; and operates as a licensee of the Blue Cross and Blue Shield Association. As of December 31, 2018, it served 40 million medical members through its affiliated health plans. The company was formerly known as WellPoint, Inc. and changed its name to Anthem, Inc. in December 2014. Anthem, Inc. was founded in 1944 and is headquartered in Indianapolis, Indiana."
"Apex Global Brands Inc. (NasdaqCM:APEX)","NasdaqCM:APEX","Walmart Inc. (NYSE:WMT)","Self
                         ","Licensor","Apparel, Accessories and Luxury Goods","Apex Global Brands Inc. (NasdaqCM:APEX) 2019 Form 10-K","Apex Global Brands Inc., a brand ownership and marketing company, creates and manages lifestyle brands worldwide. The company’s brand portfolio that spans multiple consumer product categories and retail tiers includes Hi-Tec, Magnum, 50 Peaks, Interceptor, Cherokee, Tony Hawk, Liz Lange, Point Cove, Carole Little, Everyday California, and Sideout. It maintains license agreements with retailers and manufacturers that span approximately 140 countries in approximately 20,000 retail locations and digital commerce. The company was formerly known as Cherokee Inc. and changed its name to Apex Global Brands Inc. in June 2019. Apex Global Brands Inc. was founded in 1988 and is headquartered in Sherman Oaks, California."
